,title,purpose,total_enrollment,last_update_date,what_you_get,prerequisites,description,five_stars,four_stars,three_stars,two_stars,one_star,description_clean,link,seller,price,original_price,lectures,hours,level
29,Bayesian Machine Learning in Python  A B Testing,"Data Science, Machine Learning, and Data Analytics Techniques for Marketing, Digital Media, Online Advertising, and More",27835,10/2021,Use adaptive algorithms to improve A B testing performance Understand the difference between Bayesian and frequentist statistics Apply Bayesian methods to A B testing,Requirements Probability  joint  marginal  conditional distributions  continuous and discrete random variables  PDF  PMF  CDF  Python coding with the Numpy stack,"Description This course is all about A/B testing. A/B testing is used everywhere. Marketing, retail, newsfeeds, online advertising, and more. A/B testing is all about comparing things. If you’re a data scientist, and you want to tell the rest of the company, “logo A is better than logo B”, well you can’t just say that without proving it using numbers and statistics. Traditional A/B testing has been around for a long time, and it’s full of approximations and confusing definitions. In this course, while we will do traditional A/B testing in order to appreciate its complexity, what we will eventually get to is the Bayesian machine learning way of doing things. First, we’ll see if we can improve on traditional A/B testing with adaptive methods. These all help you solve the .    Show more",59%,32%,6%,2%,1%,course b testing b testing used everywhere marketing retail newsfeeds online advertising b testing comparing thing data scientist want tell rest company logo better logo b well say without proving using number statistic traditional b testing around long time full approximation confusing definition course traditional b testing order appreciate complexity eventually get bayesian machine learning way thing first see improve traditional b testing adaptive method help solve show,https://www.udemy.com/course/bayesian-machine-learning-in-python-ab-testing/,Lazy Programmer Inc ,13.99,84.99,78,10.5 ,All Levels
30,Scala and Spark for Big Data and Machine Learning,"Learn the latest Big Data technology - Spark and Scala, including Spark 2.0 DataFrames!",28706,9/2019,Use Scala for Programming Use Spark 2 0 DataFrames to read and manipulate data Use Spark to Process Large Datasets Understand hot to use Spark on AWS and DataBricks,Requirements,"Description Learn how to utilize some of the most valuable tech skills on the market today, Scala and Spark! In this course we will show you how to use Scala and Spark to analyze Big Data. Scala and Spark are two of the most in demand skills right now, and with this course you can learn them quickly and easily! This course comes packed with content: Crash Course in Scala Programming Spark and Big Data Ecosystem Overview Using Spark's MLlib for Machine Learning  Scale up Spark jobs using Amazon Web Services Learn how to use Databrick's Big Data Platform and much more! Show more",50%,37%,10%,2%,1%,learn utilize valuable tech skill market today scala spark course show use scala spark analyze big data scala spark two demand skill right course learn quickly easily course come packed content crash course scala programming spark big data ecosystem overview using spark mllib machine learning scale spark job using amazon web service learn use databrick big data platform much show,https://www.udemy.com/course/scala-and-spark-for-big-data-and-machine-learning/,Jose Portilla,13.99,84.99,80,10 ,All Levels
31,Probability and Statistics for Business and Data Science,Learn how to apply probability and statistics to real data science and business applications!,24272,9/2019,Understand the basics of probability Be able to implement basic statistics Understand how to use various statistical distributions Apply statistical methods and hypothesis testing to business problems Understand how regression models work Implement one way and two way ANOVA Understand Chi Squared Tests Be able to understand different types of data,Requirements Paper and Pencil to take notes Optional  Excel or Python to run simulations,"Description Welcome to Probability and Statistics for Business and Data Science! In this course we cover what you need to know about probability and statistics to succeed in business and the data science field! This practical course will go over theory and implementation of statistics to real world problems. Each section has example problems, in course quizzes, and assessment tests. We’ll start by talking about the basics of data, understanding how to examine it with measurements of central tendency, dispersion, and also building an understanding of how bivariate data sources can relate to each other. Afterwards we’ll dive into probability , learning about combinations and permutations, as well as conditional probability and how to apply bayes theorem. Then we’ll move on to discussing the most common distributions found in statistics, creating a solid foundation of understanding how to work with uniform, binomial, poisson, and normal distributions.  Show more",51%,38%,9%,1%,1%,welcome probability statistic business data science course cover need know probability statistic succeed business data science field practical course go theory implementation statistic real world problem section example problem course quiz assessment test start talking basic data understanding examine measurement central tendency dispersion also building understanding bivariate data source relate afterwards dive probability learning combination permutation well conditional probability apply bayes theorem move discussing common distribution found statistic creating solid foundation understanding work uniform binomial poisson normal distribution show,https://www.udemy.com/course/probability-and-statistics-for-business-and-data-science/,Jose Portilla,15.99,99.99,53,5 ,All Levels
32,DP 100  A Z Machine Learning using Azure Machine Learning,Microsoft Azure DP-100: Designing and Implementing a Data Science Solution Exam Covered. Learn Azure Machine Learning,27792,12/2021,Prepare for and Pass the Azure DP 100 Exam Master Data Science and Machine Learning Models using Azure ML  Data Processing using Python and Pandas AzureML SDK for Python for complete Machine Learning Lifecycle  Azure Automated Machine Learning for faster and efficient Machine Learning model development and deployment Understand the concepts and intuition of Machine Learning algorithms Build Machine Learning models within minutes Deploy production grade Machine Learning algorithms Deploy Machine Learning webservices in the simplest manner,Requirements Basic Math is good enough  This course does not require background in Data Science  Will be great if you have one  Free or paid subscription to Microsoft Azure is required  It may ask for Phone and or Credit Card for verification,"Description This course will help you and your team to build skills required to pass the most in demand and challenging, Azure DP-100 Certification exam. It will earn you one of the most in-demand certificate of Microsoft Certified: Azure Data Scientist Associate. DP-100 is designed for Data Scientists. This exam tests your knowledge of Data Science and Machine learning to implement machine learning models on Azure. So you must know right from Machine Learning fundamentals, Python, planning and creating suitable environments in Azure, creating machine learning models as well as deploying them in production. Why should you go for DP-100 Certification? One of the very few certifications in the field of Data Science and Machine Learning. You can successfully demonstrate your knowledge and abilities in the field of Data Science and Machine Learning.        Show more",53%,37%,8%,1%,1%,course help team build skill required pas demand challenging azure dp 100 certification exam earn one demand certificate microsoft certified azure data scientist associate dp 100 designed data scientist exam test knowledge data science machine learning implement machine learning model azure must know right machine learning fundamental python planning creating suitable environment azure creating machine learning model well deploying production go dp 100 certification one certification field data science machine learning successfully demonstrate knowledge ability field data science machine learning show,https://www.udemy.com/course/machine-learning-using-azureml/,Jitesh Khurkhuriya  Python  Data Science   Machine Learning A Z Team,18.99,99.99,211,25 ,All Levels
33,SQL   Database Design A Z   Learn MS SQL Server   PostgreSQL,Learn Both SQL Server & PostgreSQL By Doing. Enhance Your Data Analytics Career With Real World Data Science Exercises,25492,12/2021,Create basic SQL Queries Create advanced SQL Queries Create Left  Right  Inner and Full Outer joins Create new tables  alter existing tables in Databases Normalize Databases Understand database design Understand first  second and third normal form schemas,Requirements A basic knowledge of computers,"Description Are you interested in a career in Data Science or Data Analytics? In that case, inevitably you are going to encounter databases in your work. But how do you interact with databases? The answer is simple: SQL  SQL stands for Structured Query Language and this is one of the main tools used to organize databases, input data into them and extract it on request. In this course you will learn how to create queries in a popular variation of SQL called PostgreSQL.  And even if at your workplace you are using a different variation (e.g. Oracle, SQL Server or MySQL), you will find that the skills you learn in this course are easily transferable.   Show more",50%,34%,11%,3%,2%,interested career data science data analytics case inevitably going encounter database work interact database answer simple sql sql stand structured query language one main tool used organize database input data extract request course learn create query popular variation sql called postgresql even workplace using different variation e g oracle sql server mysql find skill learn course easily transferable show,https://www.udemy.com/course/sqldatabases/,Kirill Eremenko  Ilya Eremenko  Ligency I Team  Ligency Team,13.99,84.99,104,12.5 ,All Levels
34,The Complete Machine Learning Course with Python,"Build a Portfolio of 12 Machine Learning Projects with Python, SVM, Regression, Unsupervised Machine Learning & More!",26612,1/2020,Machine Learning Engineers earn on average  166 000   become an ideal candidate with this course  Solve any problem in your business  job or personal life with powerful Machine Learning models Train machine learning algorithms to predict house prices  identify handwriting  detect cancer cells   more Go from zero to hero in Python  Seaborn  Matplotlib  Scikit Learn  SVM  unsupervised Machine Learning etc,Requirements,"Description The Complete Machine Learning Course in Python has been FULLY UPDATED for November 2019! With brand new sections as well as updated and improved content, you get everything you need to master Machine Learning in one course! The machine learning field is constantly evolving, and we want to make sure students have the most up-to-date information and practices available to them: Brand new sections include: Foundations of Deep Learning covering topics such as the difference between classical programming and machine learning, differentiate between machine and deep learning, the building blocks of neural networks, descriptions of tensor and tensor operations, categories of machine learning and advanced concepts such as over- and underfitting, regularization, dropout, validation and testing and much more. Computer Vision in the form of Convolutional Neural Networks covering building the layers, understanding filters / kernels, to advanced topics such as transfer learning, and feature extractions.    Show more",43%,38%,14%,3%,2%,complete machine learning course python fully updated november 2019 brand new section well updated improved content get everything need master machine learning one course machine learning field constantly evolving want make sure student date information practice available brand new section include foundation deep learning covering topic difference classical programming machine learning differentiate machine deep learning building block neural network description tensor tensor operation category machine learning advanced concept underfitting regularization dropout validation testing much computer vision form convolutional neural network covering building layer understanding filter kernel advanced topic transfer learning feature extraction show,https://www.udemy.com/course/machine-learning-course-with-python/,Codestars by Rob Percival  Anthony NG  Rob Percival,15.99,99.99,111,17.5 ,All Levels
35,Machine Learning   Deep Learning in Python   R,"Covers Regression, Decision Trees, SVM, Neural Networks, CNN, Time Series Forecasting and more using both Python & R",335879,11/2021,Learn how to solve real life problem using the Machine learning techniques Machine Learning models such as Linear Regression  Logistic Regression  KNN etc  Advanced Machine Learning models such as Decision trees  XGBoost  Random Forest  SVM etc  Understanding of basics of statistics and concepts of Machine Learning How to do basic statistical operations and run ML models in Python Indepth knowledge of data collection and data preprocessing for Machine Learning problem How to convert business problem into a Machine learning problem,Requirements Students will need to install Anaconda software but we have a separate lecture to guide you install the same,"Description You're looking for a complete Machine Learning and Deep Learning course that can help you launch a flourishing career in the field of Data Science, Machine Learning, Python, R or Deep Learning, right? You've found the right Machine Learning course! After completing this course you will be able to: · Confidently build predictive Machine Learning and Deep Learning models using R, Python to solve business problems and create business strategy · Answer Machine Learning, Deep Learning, R, Python related interview questions · Participate and perform in online Data Analytics and Data Science competitions such as Kaggle competitions Check out the table of contents below to see what all Machine Learning and Deep Learning models you are going to learn. Show more",48%,36%,13%,2%,1%,looking complete machine learning deep learning course help launch flourishing career field data science machine learning python r deep learning right found right machine learning course completing course able confidently build predictive machine learning deep learning model using r python solve business problem create business strategy answer machine learning deep learning r python related interview question participate perform online data analytics data science competition kaggle competition check table content see machine learning deep learning model going learn show,https://www.udemy.com/course/data_science_a_to_z/,Start Tech Academy,13.99,29.99,282,35 ,All Levels
36,Cluster Analysis and Unsupervised Machine Learning in Python,"Data science techniques for pattern recognition, data mining, k-means clustering, and hierarchical clustering, and KDE.",22216,10/2021,Understand the regular K Means algorithm Understand and enumerate the disadvantages of K Means Clustering Understand the soft or fuzzy K Means Clustering algorithm Implement Soft K Means Clustering in Code Understand Hierarchical Clustering Explain algorithmically how Hierarchical Agglomerative Clustering works Apply Scipy s Hierarchical Clustering library to data Understand how to read a dendrogram Understand the different distance metrics used in clustering Understand the difference between single linkage  complete linkage  Ward linkage  and UPGMA Show more,Requirements Know how to code in Python and Numpy Install Numpy and Scipy Matrix arithmetic  probability,"Description Cluster analysis is a staple of unsupervised machine learning and data science. It is very useful for data mining and big data because it automatically finds patterns in the data, without the need for labels, unlike supervised machine learning. In a real-world environment, you can imagine that a robot or an artificial intelligence won’t always have access to the optimal answer, or maybe there isn’t an optimal correct answer. You’d want that robot to be able to explore the world on its own, and learn things just by looking for patterns. Do you ever wonder how we get the data that we use in our supervised machine learning algorithms? We always seem to have a nice CSV or a table, complete with Xs and corresponding Ys. If you haven’t been involved in acquiring data yourself, you might not have thought about this, but someone has to make this data!     Show more",60%,31%,7%,1%,1%,cluster analysis staple unsupervised machine learning data science useful data mining big data automatically find pattern data without need label unlike supervised machine learning real world environment imagine robot artificial intelligence always access optimal answer maybe optimal correct answer want robot able explore world learn thing looking pattern ever wonder get data use supervised machine learning algorithm always seem nice csv table complete x corresponding y involved acquiring data might thought someone make data show,https://www.udemy.com/course/cluster-analysis-unsupervised-machine-learning-python/,Lazy Programmer Team  Lazy Programmer Inc ,29.99,,56,8 ,Beginner
37,Advanced AI  Deep Reinforcement Learning in Python,The Complete Guide to Mastering Artificial Intelligence using Deep Learning and Neural Networks,33822,10/2021,Build various deep learning agents  including DQN and A3C  Apply a variety of advanced reinforcement learning algorithms to any problem Q Learning with Deep Neural Networks Policy Gradient Methods with Neural Networks Reinforcement Learning with RBF Networks Use Convolutional Neural Networks with Deep Q Learning,Requirements Know reinforcement learning basics  MDPs  Dynamic Programming  Monte Carlo  TD Learning College level math is helpful Experience building machine learning models in Python and Numpy Know how to build ANNs and CNNs using Theano or Tensorflow,"Description This course is all about the application of deep learning and neural networks to reinforcement learning. If you’ve taken my first reinforcement learning class, then you know that reinforcement learning is on the bleeding edge of what we can do with AI. Specifically, the combination of deep learning with reinforcement learning has led to AlphaGo beating a world champion in the strategy game Go, it has led to self-driving cars, and it has led to machines that can play video games at a superhuman level. Reinforcement learning has been around since the 70s but none of this has been possible until now. The world is changing at a very fast pace. The state of California is changing their regulations so that self-driving car companies can test their cars without a human in the car to supervise. We’ve seen that reinforcement learning is an entirely different kind of machine learning than supervised and unsupervised learning.    Show more",66%,27%,5%,1%,1%,course application deep learning neural network reinforcement learning taken first reinforcement learning class know reinforcement learning bleeding edge ai specifically combination deep learning reinforcement learning led alphago beating world champion strategy game go led self driving car led machine play video game superhuman level reinforcement learning around since 70 none possible world changing fast pace state california changing regulation self driving car company test car without human car supervise seen reinforcement learning entirely different kind machine learning supervised unsupervised learning show,https://www.udemy.com/course/deep-reinforcement-learning-in-python/,Lazy Programmer Team  Lazy Programmer Inc ,29.99,,79,10.5 ,Expert
38,Deep Learning  Advanced Computer Vision  GANs  SSD   More  ,"VGG, ResNet, Inception, SSD, RetinaNet, Neural Style Transfer, GANs +More in Tensorflow, Keras, and Python",26413,11/2021,Understand and apply transfer learning Understand and use state of the art convolutional neural nets such as VGG  ResNet and Inception Understand and use object detection algorithms like SSD Understand and apply neural style transfer Understand state of the art computer vision topics Class Activation Maps GANs  Generative Adversarial Networks  Object Localization Implementation Project,Requirements Know how to build  train  and use a CNN using some library  preferably in Python  Understand basic theoretical concepts behind convolution and neural networks Decent Python coding skills  preferably in data science and the Numpy Stack,"Description Latest update: Instead of SSD, I show you how to use RetinaNet, which is better and more modern. I show you both how to use a pretrained model and how to train one yourself with a custom dataset on Google Colab. This is one of the most exciting courses I’ve done and it really shows how fast and how far deep learning has come over the years. When I first started my deep learning series, I didn’t ever consider that I’d make two courses on convolutional neural networks. I think what you’ll find is that, this course is so entirely different from the previous one, you will be impressed at just how much material we have to cover. Let me give you a quick rundown of what this course is all about: We’re going to bridge the gap between the basic CNN architecture you already know and love, to modern, novel architectures such as , , and (named after the movie which by the way, is also great!)      Show more",69%,24%,5%,1%,1%,latest update instead ssd show use retinanet better modern show use pretrained model train one custom dataset google colab one exciting course done really show fast far deep learning come year first started deep learning series ever consider make two course convolutional neural network think find course entirely different previous one impressed much material cover let give quick rundown course going bridge gap basic cnn architecture already know love modern novel architecture named movie way also great show,https://www.udemy.com/course/advanced-computer-vision/,Lazy Programmer Inc ,18.99,109.99,110,15 ,Intermediate
39,DP 900 Azure Data Fundamentals Exam Prep In One Day,Learn the basics of Azure database services and get certified with this complete DP-900 course!,25801,10/2021,Take and pass the Azure DP 900 Data Fundamentals exam Understand the core concepts of Azure data services like SQL Database Understand the data analytics products of Azure such as Azure Stream Analytics Understand the data reporting products of Azure such as Power BI,Requirements An interest in Azure cloud computing No background in data required but it would be helpful to be familiar with it,"Description LEARN AZURE DATABASE AND DATA PROCESSING TECHNOLOGIES IN ONE DAY! The course is completely up-to-date with new requirements. A brand new course, just launched!  Complete preparation for the new DP-900 Azure Data Fundamentals exam. The content of this exam was updated on October 25, 2021. Describe core data concepts (15-20%) Describe how to work with relational data on Azure (25-30%) Describe how to work with non-relational data on Azure (25-30%) Describe an analytics workload on Azure (25-30%)  Show more",51%,39%,9%,1%,< 1%,learn azure database data processing technology one day course completely date new requirement brand new course launched complete preparation new dp 900 azure data fundamental exam content exam updated october 25 2021 describe core data concept 15 20 describe work relational data azure 25 30 describe work non relational data azure 25 30 describe analytics workload azure 25 30 show,https://www.udemy.com/course/dp900-azure/,Scott Duffy   600 000  Students  Software Architect ca,13.99,29.99,36,2.5 ,Beginner
40,Deep Learning  Convolutional Neural Networks in Python,"Use CNNs for Image Recognition, Natural Language Processing (NLP) +More! For Data Science, Machine Learning, and AI",28275,11/2021,Understand convolution and why it s useful for Deep Learning Understand and explain the architecture of a convolutional neural network  CNN  Implement a CNN in TensorFlow 2 Apply CNNs to challenging Image Recognition tasks Apply CNNs to Natural Language Processing  NLP  for Text Classification  e g  Spam Detection  Sentiment Analysis ,Requirements Basic math  taking derivatives  matrix arithmetic  probability  is helpful Python  Numpy  Matplotlib,"Description *** NOW IN TENSORFLOW 2 and PYTHON 3 *** Learn about one of the most powerful Deep Learning architectures yet! The Convolutional Neural Network (CNN) has been used to obtain state-of-the-art results in computer vision tasks such as object detection, image segmentation, and generating photo-realistic images of people and things that don't exist in the real world! This course will teach you the fundamentals of convolution and why it's useful for deep learning and even NLP (natural language processing). You will learn about modern techniques such as data augmentation and batch normalization, and build modern architectures such as VGG yourself. This course will teach you:   Show more",63%,29%,5%,2%,1%, tensorflow 2 python 3 learn one powerful deep learning architecture yet convolutional neural network cnn used obtain state art result computer vision task object detection image segmentation generating photo realistic image people thing exist real world course teach fundamental convolution useful deep learning even nlp natural language processing learn modern technique data augmentation batch normalization build modern architecture vgg course teach show,https://www.udemy.com/course/deep-learning-convolutional-neural-networks-theano-tensorflow/,Lazy Programmer Inc ,18.99,109.99,73,12 ,All Levels
41,Complete 2022 Data Science   Machine Learning Bootcamp,"Learn Python, Tensorflow, Deep Learning, Regression, Classification, Neural Networks, Artificial Intelligence & more!",30748,8/2020,You will learn how to program using Python through practical projects Use data science algorithms to analyse data in real life projects such as spam classification and image recognition Build a portfolio of data science projects to apply for jobs in the industry Understand how to use the latest tools in data science  including Tensorflow  Matplotlib  Numpy and many more Create your own neural networks and understand how to use them to perform deep learning Understand and apply data visualisation techniques to explore large datasets,Requirements No programming experience needed  I ll teach you everything you need to know  No statistics knowledge required  I ll teach you everything you need to know  No calculus knowledge required  as long as you ve done some high school maths  I ll take you step by step through the difficult parts  Also  no paid software required   all projects use free and open source software All you need is Mac or PC computer with access to the internet,"Description Welcome to the Complete Data Science and Machine Learning Bootcamp, the only course you need to learn Python and get into data science.  At over 40+ hours, this Python course is without a doubt the most comprehensive data science and machine learning course available online. Even if you have zero programming experience, this course will take you from beginner to mastery. Here's why: The course is taught by the lead instructor at the App Brewery, London's leading in-person programming bootcamp. In the course, you'll be learning the latest tools and technologies that are used by data scientists at Google, Amazon, or Netflix.                         Show more",60%,31%,7%,1%,1%,welcome complete data science machine learning bootcamp course need learn python get data science 40 hour python course without doubt comprehensive data science machine learning course available online even zero programming experience course take beginner mastery course taught lead instructor app brewery london leading person programming bootcamp course learning latest tool technology used data scientist google amazon netflix show,https://www.udemy.com/course/python-data-science-machine-learning-bootcamp/,Philipp Muellauer  Dr  Angela Yu,13.99,84.99,207,41.5 ,All Levels
42,Deep Learning  Advanced Natural Language Processing and RNNs,"Natural Language Processing (NLP) with Sequence-to-sequence (seq2seq), Attention, CNNs, RNNs, and Memory Networks!",22096,11/2021,Build a text classification system  can be used for spam detection  sentiment analysis  and similar problems  Build a neural machine translation system  can also be used for chatbots and question answering  Build a sequence to sequence  seq2seq  model Build an attention model Build a memory network  for question answering based on stories ,Requirements Understand what deep learning is for and how it is used Decent Python coding skills  especially tools for data science  Numpy  Matplotlib  Preferable to have experience with RNNs  LSTMs  and GRUs Preferable to have experience with Keras Preferable to understand word embeddings,"Description It’s hard to believe it's been been over a year since I released my first course on Deep Learning with NLP (natural language processing). A lot of cool stuff has happened since then, and I've been deep in the trenches learning, researching, and accumulating the best and most useful ideas to bring them back to you. So what is this course all about, and how have things changed since then? In previous courses, you learned about some of the fundamental building blocks of Deep NLP. We looked at RNNs (recurrent neural networks), CNNs (convolutional neural networks), and word embedding algorithms such as word2vec and GloVe. This course takes you to a higher systems level of thinking. Since you know how these things work, it’s time to build systems using these components.           Show more",65%,28%,5%,1%,1%,hard believe year since released first course deep learning nlp natural language processing lot cool stuff happened since deep trench learning researching accumulating best useful idea bring back course thing changed since previous course learned fundamental building block deep nlp looked rnns recurrent neural network cnns convolutional neural network word embedding algorithm word2vec glove course take higher system level thinking since know thing work time build system using component show,https://www.udemy.com/course/deep-learning-advanced-nlp/,Lazy Programmer Inc ,19.99,119.99,65,8.5 ,All Levels
43,Python   Machine Learning for Financial Analysis,Master Python Programming Fundamentals and Harness the Power of ML to Solve Real-World Practical Applications in Finance,94178,12/2020,Master Python 3 programming fundamentals for Data Science and Machine Learning with focus on Finance  Understand how to leverage the power of Python to apply key financial concepts such as calculating daily portfolio returns  risk and Sharpe ratio  Understand the theory and intuition behind Capital Asset Pricing Model  CAPM  Understand how to use Jupyter Notebooks for developing  presenting and sharing Data Science projects  Learn how to use key Python Libraries such as NumPy for scientific computing  Pandas for Data Analysis  Matplotlib for data plotting visualization  and Seaborn for statistical plots  Master SciKit Learn library to build  train and tune machine learning models using real world datasets  Show more,Requirements No prior experience required ,"Description Are you ready to learn python programming fundamentals and directly apply them to solve real world applications in Finance and Banking? If the answer is yes, then welcome to the “The Complete Python and Machine Learning for Financial Analysis” course in which you will learn everything you need to develop practical real-world finance/banking applications in Python! So why Python? Python is ranked as the number one programming language to learn in 2020, here are 6 reasons you need to learn Python right now! 1. #1 language for AI & Machine Learning: Python is the #1 programming language for machine learning and artificial intelligence.    Show more",58%,32%,8%,1%,1%,ready learn python programming fundamental directly apply solve real world application finance banking answer yes welcome complete python machine learning financial analysis course learn everything need develop practical real world finance banking application python python python ranked number one programming language learn 2020 6 reason need learn python right 1 1 language ai machine learning python 1 programming language machine learning artificial intelligence show,https://www.udemy.com/course/ml-and-python-in-finance-real-cases-and-practical-solutions/,Dr  Ryan Ahmed  Ph D   MBA  Ligency I Team  Mitchell Bouchard,15.99,99.99,131,23 ,All Levels
44,R Programming for Statistics and Data Science 2021,R Programming for Data Science & Data Analysis. Applying R for Statistics and Data Visualization with GGplot2 in R,21173,1/2021,Learn the fundamentals of programming in R Work with R s conditional statements  functions  and loops Build your own functions in R Get your data in and out of R Learn the core tools for data science with R Manipulate data with the Tidyverse ecosystem of packages Systematically explore data in R The grammar of graphics and the ggplot2 package Visualise data  plot different types of data   draw insights Transform data  best practices of when and how Index  slice  and subset data Learn the fundamentals of statistics and apply them in practice Show more,Requirements,"Description R Programming for Statistics and Data Science 2021 R Programming is a skill you need if you want to work as a data analyst or a data scientist in your industry of choice. And why wouldn't you?  Data scientist is the hottest ranked profession in the US. But to do that, you need the tools and the skill set to handle data. R is one of the top languages to get you where you want to be. Combine that with statistical know-how, and you will be well on your way to your dream title.   This course is packing all of this, and more, in one easy-to-handle bundle, and it’s the perfect start to your journey.    So, welcome to R for Statistics and Data Science!   R for Statistics and Data Science is the course that will take you from a complete beginner in programming with R to a professional who can complete data manipulation on demand. It gives you the complete skill set to tackle a new data science project with confidence and be able to critically assess your work and others’.    Show more",52%,37%,9%,1%,1%,r programming statistic data science 2021 r programming skill need want work data analyst data scientist industry choice data scientist hottest ranked profession u need tool skill set handle data r one top language get want combine statistical know well way dream title course packing one easy handle bundle perfect start journey welcome r statistic data science r statistic data science course take complete beginner programming r professional complete data manipulation demand give complete skill set tackle new data science project confidence able critically ass work others show,https://www.udemy.com/course/r-programming-for-statistics-and-data-science/,365 Careers  365 Simona  The 365 Team ,13.99,84.99,126,6.5 ,All Levels
45,Deep Learning  Recurrent Neural Networks in Python,"GRU, LSTM, Time Series Forecasting, Stock Predictions, Natural Language Processing (NLP) using Artificial Intelligence",26457,11/2021,Apply RNNs to Time Series Forecasting  tackle the ubiquitous  Stock Prediction  problem  Apply RNNs to Natural Language Processing  NLP  and Text Classification  Spam Detection  Apply RNNs to Image Classification Understand the simple recurrent unit  Elman unit   GRU  and LSTM  long short term memory unit  Write various recurrent networks in Tensorflow 2 Understand how to mitigate the vanishing gradient problem,Requirements Basic math  taking derivatives  matrix arithmetic  probability  is helpful Python  Numpy  Matplotlib,"Description *** NOW IN TENSORFLOW 2 and PYTHON 3 *** Learn about one of the most powerful Deep Learning architectures yet! The Recurrent Neural Network (RNN) has been used to obtain state-of-the-art results in sequence modeling. This includes time series analysis, forecasting and natural language processing (NLP). Learn about why RNNs beat old-school machine learning algorithms like Hidden Markov Models. This course will teach you: The basics of machine learning and neurons (just a review to get you warmed up!) Neural networks for classification and regression (just a review to get you warmed up!) How to model sequence data     Show more",62%,29%,6%,2%,1%, tensorflow 2 python 3 learn one powerful deep learning architecture yet recurrent neural network rnn used obtain state art result sequence modeling includes time series analysis forecasting natural language processing nlp learn rnns beat old school machine learning algorithm like hidden markov model course teach basic machine learning neuron review get warmed neural network classification regression review get warmed model sequence data show,https://www.udemy.com/course/deep-learning-recurrent-neural-networks-in-python/,Lazy Programmer Inc ,15.99,99.99,71,12 ,All Levels
46,Deep Learning Prerequisites  Logistic Regression in Python,"Data science, machine learning, and artificial intelligence in Python for students and professionals",25515,10/2021,program logistic regression from scratch in Python describe how logistic regression is useful in data science derive the error and update rule for logistic regression understand how logistic regression works as an analogy for the biological neuron use logistic regression to solve real world business problems like predicting user actions from e commerce data and facial expression recognition understand why regularization is used in machine learning,Requirements Derivatives  matrix arithmetic  probability You should know some basic Python coding with the Numpy Stack,"Description This course is a lead-in to deep learning and neural networks - it covers a popular and fundamental technique used in machine learning, data science and statistics: logistic regression. We cover the theory from the ground up: derivation of the solution, and applications to real-world problems. We show you how one might code their own logistic regression module in Python. This course does not require any external materials. Everything needed (Python, and some Python libraries) can be obtained for free. This course provides you with many practical examples so that you can really see how deep learning can be used on anything. Throughout the course, we'll do a course project, which will show you how to predict user actions on a website given user data like whether or not that user is on a mobile device, the number of products they viewed, how long they stayed on your site, whether or not they are a returning visitor, and what time of day they visited.    Show more",62%,30%,6%,1%,1%,course lead deep learning neural network cover popular fundamental technique used machine learning data science statistic logistic regression cover theory ground derivation solution application real world problem show one might code logistic regression module python course require external material everything needed python python library obtained free course provides many practical example really see deep learning used anything throughout course course project show predict user action website given user data like whether user mobile device number product viewed long stayed site whether returning visitor time day visited show,https://www.udemy.com/course/data-science-logistic-regression-in-python/,Lazy Programmer Inc ,18.99,109.99,59,6.5 ,All Levels
47,The Complete Self Driving Car Course   Applied Deep Learning,"Learn to use Deep Learning, Computer Vision and Machine Learning techniques to Build an Autonomous Car with Python",19326,5/2021,Learn to apply Computer Vision and Deep Learning techniques to build automotive related algorithms Understand  build and train Convolutional Neural Networks with Keras Simulate a fully functional Self Driving Car with Convolutional Neural Networks and Computer Vision Train a Deep Learning Model that can identify between 43 different Traffic Signs Learn to use essential Computer Vision techniques to identify lane lines on a road Learn to build and train powerful Neural Networks with Keras Understand Neural Networks at the most fundamental perceptron based level,Requirements A working computer No experience required ,"Description Self-driving cars have rapidly become one of the most transformative technologies to emerge. Fuelled by Deep Learning algorithms, they are continuously driving our society forward and creating new opportunities in the mobility sector.  Deep Learning jobs command some of the highest salaries in the development world. This is the first, and only course which makes practical use of Deep Learning, and applies it to building a self-driving car, one of the most disruptive technologies in the world today. Learn & Master Deep Learning in this fun and exciting course with top instructor Rayan Slim. With over 28000 students, Rayan is a highly rated and experienced instructor who has followed a ""learn by doing"" style to create this amazing course. You'll go from beginner to Deep Learning expert and your instructor will complete each task with you step by step on screen.  Show more",58%,33%,7%,1%,1%,self driving car rapidly become one transformative technology emerge fuelled deep learning algorithm continuously driving society forward creating new opportunity mobility sector deep learning job command highest salary development world first course make practical use deep learning applies building self driving car one disruptive technology world today learn master deep learning fun exciting course top instructor rayan slim 28000 student rayan highly rated experienced instructor followed learn style create amazing course go beginner deep learning expert instructor complete task step step screen show,https://www.udemy.com/course/applied-deep-learningtm-the-complete-self-driving-car-course/,Rayan Slim  Amer Sharaf  Jad Slim  Sarmad Tanveer,18.99,119.99,171,18 ,All Levels
